0	0.361604	
1	0.0786256	
2	0.0128611	
3	0.0259625	
4	0.0159028	
5	-0.0368377	
6	0.00620621	
7	0.0494376	
8	-0.0147897	
9	0.00848154	
10	-0.00126418	
11	-0.0206901	
12	-0.0740585	
13	-0.0338242	
14	-0.0409642	
15	-0.0125307	
16	-0.0113849	
17	-0.030717	
18	0.0551951	
19	0.0110709	
20	0.0374493	
21	0.0660867	
22	-0.0165472	
23	0.0096274	
24	-0.0199683	
25	-0.0236708	
26	0.0320504	
27	0.0445565	
28	0.0249268	
29	0.0466444	
30	-0.0112911	
31	-0.0262929	
32	0.0424241	
33	0.00495022	
34	0.0170486	
35	0.0403362	
36	0.010239	
37	-0.024519	
38	-0.0420773	
39	-0.023263	
40	-0.00764968	
41	0.0431458	
42	0.0437738	
43	0.0428318	
44	0.0321769	
45	-0.0303867	
46	-0.0509584	
47	-0.0263538	
48	-0.00215702	
49	0.0304358	
50	0.00308262	
51	-0.0145858	
52	-0.00443235	
53	0.0360386	
54	-0.00154541	
55	-0.0254282	
56	0.0185249	
57	0.0068342	
58	-0.00578208	
59	-0.00422848	
60	-0.0185085	
61	-0.00714819	
62	-0.0444628	
63	0.0339344	
64	0.013126	
65	-0.0188225	
66	-0.0154013	
67	0.0294774	
68	0.0521043	
69	0.025775	
70	-0.0168448	
71	0.000399549	
72	-0.00267488	
73	0.0254446	
74	0.00189217	
75	0.0103655	
76	0.00198591	
77	0.0208002	
78	0.00270765	
79	0.0404464	
80	0.0334165	
81	-0.0411681	
82	-0.0240175	
83	-0.0479941	
84	-0.0336813	
85	-0.046628	
86	-0.0100188	
87	-0.0277036	
88	0.000354952	
89	-0.0109935	
90	-0.0351576	
91	0.00207966	
92	0.0110053	
93	0.0272795	
94	0.0406666	
95	-0.0134072	
96	-0.0184147	
97	0.00374338	
98	-0.0480715	
99	0.00578208	
